Species	Common.Name	IUCN	POP	Order	Family	OK	het	soh
Noctilio leporinus	Greater Bulldog Bat	Least Concern	wild	CHIROPTERA	Noctilionidae	TRUE	0.000383	NA
Macrotus californicus	California Leaf-nosed Bat	Least Concern	wild	CHIROPTERA	Phyllostomidae	TRUE	0.0023	0.0594
Micronycteris hirsuta	Hairy Big-eared Bat	Least Concern	wild	CHIROPTERA	Phyllostomidae	TRUE	0.00457	0.158
Artibeus jamaicensis	Jamacian Fruit-eating Bat	Least Concern	wild	CHIROPTERA	Phyllostomidae	TRUE	0.00462	0.265
Carollia perspicillata	Seba's short-tailed bat	Least Concern	wild	CHIROPTERA	Phyllostomidae	TRUE	0.00763	0.0254
Tonatia saurophila	Stripe-headed Round-eared Bat	Least Concern	wild	CHIROPTERA	Phyllostomidae	TRUE	0.00301	0.11
Anoura caudifer	Tailed tailless bat	Least Concern	wild	CHIROPTERA	Phyllostomidae	TRUE	0.00224	0.113
Rousettus aegyptiacus	Egyptian Fruit Bat	Least Concern	wild	CHIROPTERA	Pteropodidae	TRUE	0.00249	0.45
Macroglossus sobrinus	Long-tongued fruit bat	Least Concern	wild	CHIROPTERA	Pteropodidae	TRUE	0.0026	0.263
Murina feae	Ashy-gray tube-nosed bat	Least Concern	wild	CHIROPTERA	Vespertilionidae	TRUE	0.00326	0.0758
Miniopterus schreibersii	Common Bent-wing Bat	Near Threatened	wild	CHIROPTERA	Vespertilionidae	TRUE	0.000942	0.37
Pipistrellus pipistrellus	Common pipistrelle	Least Concern	wild	CHIROPTERA	Vespertilionidae	TRUE	0.00358	0.117
Lasiurus borealis	Eastern Red Bat	Least Concern	wild	CHIROPTERA	Vespertilionidae	TRUE	0.00632	0.4
Myotis myotis	Greater mouse-eared Bat	Least Concern	wild	CHIROPTERA	Vespertilionidae	TRUE	0.00332	0.0742
Antrozous pallidus	Pallid Bat	Least Concern	wild	CHIROPTERA	Vespertilionidae	TRUE	0.00171	0.561
Lepus americanus	Snowshoe Hare	Least Concern	unknown	LAGOMORPHA	Leporidae	TRUE	0.004	0.0791
Aplodontia rufa	Mountain Beaver	Least Concern	wild	RODENTIA	Aplodontiidae	TRUE	0.00292	0.0872
Capromys pilorides	Desmarest's Hutia	Least Concern	wild	RODENTIA	Capromyidae	TRUE	0.00617	0.148
Castor canadensis	North American Beaver	Least Concern	wild	RODENTIA	Castoridae	TRUE	0.00156	0.206
Cavia tschudii	Montane Guinea Pig	Least Concern	captive	RODENTIA	Caviidae	TRUE	0.00145	0.641
Dolichotis patagonum	Patagonian Mara	Near Threatened	captive	RODENTIA	Caviidae	TRUE	0.0041	0.411
Ondatra zibethicus	Muskrat	Least Concern	wild	RODENTIA	Cricetidae	TRUE	0.00188	0.473
Onychomys torridus	Scorpion Mouse	Least Concern	wild	RODENTIA	Cricetidae	TRUE	0.00346	0.158
Ctenodactylus gundi	Common Gundi	Least Concern	wild	RODENTIA	Ctenodactylidae	TRUE	0.00227	0.0866
Ctenomys sociabilis	Social Tuco-tuco	Critically Endangered	lab	RODENTIA	Ctenomyidae	TRUE	0.000628	0.787
Cuniculus paca	Lowland Paca	Least Concern	wild	RODENTIA	Cuniculidae	TRUE	0.00695	0.203
Dasyprocta punctata	Central American Agouti	Least Concern	captive	RODENTIA	Dasyproctidae	TRUE	0.00497	0.11
Dinomys branickii	Pacarana	Least Concern	unknown	RODENTIA	Dinomyidae	TRUE	0.000558	0.59
Allactaga bullata	Gobi Jerboa	Least Concern	wild	RODENTIA	Dipodidae	TRUE	0.00332	NA
Zapus hudsonius	Meadow Jumping Mouse	Least Concern	lab	RODENTIA	Dipodidae	TRUE	0.00454	0.0671
Graphiurus murinus	Woodland Doormouse	Least Concern	captive	RODENTIA	Gliridae	TRUE	0.00261	0.697
Perognathus longimembris pacificus	Pacific Pocket Mouse	Least Concern	wild	RODENTIA	Heteromyidae	TRUE	0.00257	0.35
Hydrochoerus hydrochaeris	Capybara	Least Concern	wild	RODENTIA	Caviidae	TRUE	0.00115	0.191
Hystrix cristata	Northern Crested Porcupine	Least Concern	captive	RODENTIA	Hystricidae	TRUE	0.00433	0.0191
Meriones unguiculatus	Mongolian Jird	Least Concern	captive	RODENTIA	Muridae	TRUE	0.000847	0.743
Myocastor coypus	Coypu	Least Concern	wild	RODENTIA	Myocastoridae	TRUE	0.00167	0.247
Cricetomys gambianus	Gambian Pouched Rat	Least Concern	wild	RODENTIA	Nesomyidae	TRUE	0.00221	0.187
Pedetes capensis	South African Springhare	Least Concern	captive	RODENTIA	Pedetidae	TRUE	0.00643	0.0322
Petromus typicus	Dassie Rat	Least Concern	wild	RODENTIA	Petromuridae	TRUE	0.00427	0.139
Xerus inauris	Cape Ground Squirrel	Least Concern	wild	RODENTIA	Sciuridae	TRUE	0.0017	0.35
Thryonomys swinderianus	Greater Cane Rat	Least Concern	wild	RODENTIA	Thryonomyidae	TRUE	0.00363	0.085
Alouatta palliata mexicana	Mexican Howler Monkey	Critically Endangered	captive	PRIMATES	Atelidae	TRUE	0.000951	0.683
Saguinus imperator	Emperor Tamarin	Least Concern	captive	PRIMATES	Cebidae	TRUE	0.0031	0.153
Cebus albifrons	White-fronted Capuchin	Least Concern	captive	PRIMATES	Cebidae	TRUE	0.00199	0.177
Cercopithecus neglectus	De Brazza's Monkey	Least Concern	captive	PRIMATES	Cercopithecidae	TRUE	0.00232	0.281
Semnopithecus entellus	Northern Plains Gray Langur	Least Concern	captive	PRIMATES	Cercopithecidae	TRUE	0.00225	0.209
Erythrocebus patas	Patas Monkey	Least Concern	captive	PRIMATES	Cercopithecidae	TRUE	0.0023	NA
Nasalis larvatus	Proboscis Monkey	Endangered	captive	PRIMATES	Cercopithecidae	TRUE	0.00144	0.409
Pygathrix nemaeus	Red-shanked Douc	Endangered	captive	PRIMATES	Cercopithecidae	TRUE	0.00186	0.24
Daubentonia madagascariensis	Aye-aye	Endangered	wild	PRIMATES	Daubentoniidae	TRUE	0.000709	0.432
Indri indri	Indri	Critically Endangered	wild	PRIMATES	Indridae	TRUE	0.00513	0.232
Eulemur fulvus	Common Brown Lemur	Near Threatened	captive	PRIMATES	Lemuridae	TRUE	0.00619	NA
Lemur catta	Ring Tailed Lemur	Endangered	captive	PRIMATES	Lemuridae	TRUE	0.00344	0.199
Nycticebus coucang	Sunda Slow Loris	Vulnerable	wild	PRIMATES	Lorisidae	TRUE	0.00264	0.252
Callicebus donacophilus	White-eared Titi	Least Concern	wild	PRIMATES	Pitheciidae	TRUE	0.00166	0.295
Pithecia pithecia	White-faced Saki	Least Concern	wild	PRIMATES	Pitheciidae	TRUE	0.00178	0.333
Galeopterus variegatus	Sunda Flying Lemur	Least Concern	wild	DERMOPTERA	Cynocephalidae	TRUE	0.00446	0.303
Tupaia tana	Large treeshrew	Least Concern	captive	SCANDENTIA	Tupaiidae	TRUE	0.00598	0.238
Tolypeutes matacus	Southern Three-Banded Armadillo	Near Threatened	captive	CINGULATA	Dasypodidae	TRUE	0.00418	0.11
Choloepus didactylus	Linnaeus's Two Toed Sloth	Least Concern	wild	PILOSA	Megalonychidae	TRUE	0.00846	0.113
Myrmecophaga tridactyla	Giant Anteater	Vulnerable	captive	PILOSA	Myrmecophagidae	TRUE	0.00345	0.0386
Tamandua tetradactyla	Southern Tamandua	Least Concern	captive	PILOSA	Myrmecophagidae	TRUE	0.0056	0.0808
Heterohyrax brucei	African Yellow-spotted Rock Hyrax	Least Concern	captive	HYRACOIDEA	Procaviidae	TRUE	0.00472	0.0486
Procavia capensis	South African Rock Hyrax	Least Concern	wild	HYRACOIDEA	Procaviidae	TRUE	0.00578	0.0642
Microgale talazaci	Talazac's Shrew Tenrec	Least Concern	wild	AFROSORICIDA	Tenrecidae	TRUE	0.00465	0.09
Elephantulus edwardii	Cape Elephant Shrew	Least Concern	wild	MACROSCELIDEA	Macroscelididae	TRUE	0.00318	0.127
Orycteropus afer	Aardvark	Least Concern	wild	TUBULIDENTATA	Orycteropodidae	TRUE	0.00211	0.171
