phenotype	type
X12.1_HabitatBreadth	categorical
X6.1_DietBreadth	categorical
X6.2_TrophicLevel	categorical
AdultBodyMass.g	continuous
LitterSize	continuous
MidRangeLat.dd	continuous
X12.1_HabitatBreadth	continuous
X15.1_LitterSize	continuous
X26.1_GR_Area_km2	continuous
X26.2_GR_MaxLat_dd	continuous
X26.3_GR_MinLat_dd	continuous
X26.4_GR_MidRangeLat_dd	continuous
X26.5_GR_MaxLong_dd	continuous
X26.6_GR_MinLong_dd	continuous
X26.7_GR_MidRangeLong_dd	continuous
X27.1_HuPopDen_Min_n.km2	continuous
X27.2_HuPopDen_Mean_n.km2	continuous
X27.3_HuPopDen_5p_n.km2	continuous
X27.4_HuPopDen_Change	continuous
X28.1_Precip_Mean_mm	continuous
X28.2_Temp_Mean_01degC	continuous
X30.1_AET_Mean_mm	continuous
X30.2_PET_Mean_mm	continuous
X5.1_AdultBodyMass_g	continuous
X6.1_DietBreadth	continuous
X9.1_GestationLen_d	continuous
