Species	X12.1_HabitatBreadth	X6.1_DietBreadth	X6.2_TrophicLevel	AdultBodyMass.g	LitterSize	MidRangeLat.dd	X15.1_LitterSize	X26.1_GR_Area_km2	X26.2_GR_MaxLat_dd	X26.3_GR_MinLat_dd	X26.4_GR_MidRangeLat_dd	X26.5_GR_MaxLong_dd	X26.6_GR_MinLong_dd	X26.7_GR_MidRangeLong_dd	X27.1_HuPopDen_Min_n.km2	X27.2_HuPopDen_Mean_n.km2	X27.3_HuPopDen_5p_n.km2	X27.4_HuPopDen_Change	X28.1_Precip_Mean_mm	X28.2_Temp_Mean_01degC	X30.1_AET_Mean_mm	X30.2_PET_Mean_mm	X5.1_AdultBodyMass_g	X9.1_GestationLen_d
Allactaga bullata	NA	NA	NA	NA	0.198735074931966	1.46207771535095	0.211745983942129	-0.840192800966732	1.04591878389995	1.43554866540005	1.52764105655045	1.4447148979217	1.72864842588101	1.67673164644901	-0.342003200951188	-0.796608676544496	-0.377602889286046	-1.91083286273849	-1.3617138352162	-2.1910916638639	-1.58197942770013	-1.93672897351445	NA	NA
Anoura caudifer	1	3	2	-0.148083469960794	-0.829579347647847	-0.763806800065015	-0.819213970661352	0.393026876437221	-0.945181689698984	0.309177499915593	-0.685670246180229	-0.562379046220082	-0.490282548213227	-0.555085894411123	-0.342003200951188	-0.396902025588272	-0.377602889286046	0.329291610649274	0.905183448819015	0.60361669589614	1.06442389667038	0.657287801571587	-0.146987841052685	-0.207241116025562
Antilocapra americana	1	2	1	-0.134043808651751	-0.197804473644564	1.11129717844838	-0.185813737114115	-0.659012124792195	1.11748389676892	-0.196976631409702	1.02807012636264	-1.32343079920352	-1.02355405056841	-1.23698418679401	-0.342003200951188	-0.722877927782452	-0.377602889286046	-1.01478307338338	-1.13251487499245	-1.0902815177446	-1.02847356056695	-1.10065352374659	-0.132844523193259	1.22811681718534
Antrozous pallidus	1	2	3	-0.148080087245049	-0.298619613113173	1.00085094807929	-0.286888242467398	-0.312940723444753	1.04962956753019	-0.557878784907492	0.870775977353029	-1.04736948439498	-1.0662828976465	-1.1156597837821	-0.342003200951188	-0.353587201261542	-0.377602889286046	-0.118733284028278	-1.02136769369364	-0.540481019677327	-0.968774557149511	-0.558865717892997	-0.146984433361932	-0.709134591314848
Aplodontia rufa	1	2	1	-0.147848070826634	0.158409019144522	1.35990461085221	0.171316181800816	-0.934141524843376	1.05228012726608	0.984643752634913	1.38212924079999	-1.62988661013747	-1.068477430578	-1.42076308362911	-0.342003200951188	-0.197207945787832	-0.233034925959388	-0.56675817870583	-0.276681578991635	-1.38736966899846	-1.0984222342777	-1.28836522244183	-0.146750703937696	-1.00651877673442
Artibeus jamaicensis	1	4	2	-0.148073756860991	-0.82285833834994	-0.415921857217063	-0.812475670304467	1.26202427490209	-0.22104876985443	0.0249113592593096	-1.14694859327582	-0.527491450667446	-0.8627076957065	-0.735831681170923	-0.342003200951188	-0.304858023893971	-0.377602889286046	0.329291610649274	0.843042070183773	0.684387914877653	0.968034387584018	0.669245494220408	-0.146978056239869	0.107774948019368
Callicebus donacophilus	1	NA	NA	-0.147821003181663	-0.809416319754126	-1.08439042754083	-0.798999069590696	-0.927409959300602	-1.05173419108167	-0.352922006377883	-0.2291048323883	-0.827868362376313	-0.325950758695398	-0.605959422492256	-0.342003200951188	-0.772881070571397	-0.377602889286046	1.67336629468193	0.198725228290991	0.766489198842395	0.872615401550838	0.50108876940948	-0.146723436448964	NA
Capromys pilorides	1	3	2	-0.146547725891158	-0.150757408559213	0.461856797626402	-0.138645634615917	-0.955380335972093	-0.376371570377457	-0.483916121351154	0.103156965519632	-1.04736948439498	-0.55495672460634	-0.842679877005282	1.09013520303191	0.837251976368195	1.93548452394047	-1.68682041539971	0.103744909726555	0.862737537628749	0.950280917099055	1.33818075680743	-0.145440758395242	-0.0326650154500605
Carollia perspicillata	1	3	2	-0.148080978056457	-0.82285833834994	-0.599171595245176	-0.812475670304467	1.22633474123594	-0.459599146084334	0.415220354893956	-0.920138678037245	-0.527491450667446	-0.72613029326356	-0.662899170723986	-0.342003200951188	-0.412667347677781	-0.377602889286046	0.329291610649274	0.881943583638356	0.676165694981332	0.990853514980691	0.636662788076642	-0.146985330750311	-0.139276374580138
Castor canadensis	3	3	1	-0.142722738559601	0.924604079105952	1.53984509853219	0.939482422485763	1.42580682986256	2.08970920789258	0.0168913114038032	1.63839498918643	-0.802627715593914	-1.60368528551981	-1.27503593137502	-0.342003200951188	-0.527801972634494	-0.377602889286046	-1.01478307338338	-0.753940839295907	-1.70573885998397	-0.956394470397997	-1.7375946019757	-0.141587530710636	-0.170132162174516
